Adana,736,537
Adiyaman,966,453
Afyonkarahisar,362,358
Agri,1321,234
Aksaray,631,402
Amasya,768,176
Ankara,544,246
Antalya,370,542
Ardahan,1281,102
Artvin,1214,100
Aydin,150,438
Balikesir,163,261
Bartin,509,78
Batman,1187,430
Bayburt,1101,200
Bilecik,326,220
Bingol,1131,335
Bitlis,1261,372
Bolu,450,166
Burdur,340,460
Bursa,257,212
Canakkale,59,203
Cankiri,601,181
Corum,703,186
Denizli,245,451
Diyarbakir,1115,432
Duzce,416,156
Edirne,79,52
Elazig,1032,361
Erzincan,1048,255
Erzurum,1181,226
Eskisehir,365,258
Gaziantep,897,526
Giresun,960,146
Gumushane,1043,183
Hakkari,1395,440
Hatay,806,614
Igdir,1395,208
Isparta,359,457
Istanbul,252,128
Izmir,101,375
Kahramanmaras,862,474
Karabuk,527,122
Karaman,569,520
Kars,1311,149
Kastamonu,615,103
Kayseri,745,366
Kilis,878,561
Kirikkale,593,257
Kirklareli,128,52
Kirsehir,643,326
Kocaeli,324,156
Konya,512,450
Kutahya,322,290
Malatya,966,398
Manisa,121,358
Mardin,1162,488
Mersin,681,554
Mugla,185,502
Mus,1210,343
Nevsehir,685,381
Nigde,684,440
Ordu,921,140
Osmaniye,807,529
Rize,1119,125
Sakarya,360,156
Samsun,802,112
Sanliurfa,1009,512
Siirt,1250,418
Sinop,715,40
Sivas,860,262
Sirnak,1294,456
Tekirdag,144,126
Tokat,823,208
Trabzon,1058,134
Tunceli,1059,315
Usak,275,364
Van,1359,351
Yalova,275,169
Yozgat,693,257
Zonguldak,469,97
